PICKUP_ZONE,BOROUGH,YEAR,TOTAL_TRIPS
Upper East Side South,Manhattan,2015,5323623
Midtown Center,Manhattan,2015,5051927
Upper East Side South,Manhattan,2016,4955489
Upper East Side North,Manhattan,2015,4878586
East Village,Manhattan,2015,4820437
Midtown East,Manhattan,2015,4756369
Union Sq,Manhattan,2015,4753466
Murray Hill,Manhattan,2015,4729112
Times Sq/Theatre District,Manhattan,2015,4701829
Midtown Center,Manhattan,2016,4694809
Penn Station/Madison Sq West,Manhattan,2015,4675328
Clinton East,Manhattan,2015,4593409
Upper East Side North,Manhattan,2016,4545462
Penn Station/Madison Sq West,Manhattan,2016,4489776
Upper East Side South,Manhattan,2017,4440747
Midtown East,Manhattan,2016,4350767
Union Sq,Manhattan,2016,4289314
Midtown Center,Manhattan,2017,4272647
Upper East Side South,Manhattan,2018,4256230
Murray Hill,Manhattan,2016,4200832
