BOROUGH,YEAR,TOTAL_REVENUE,AVG_TIP_PCT,TOTAL_TRIPS
Bronx,2015,4167272.82,21.303213019,193177
Brooklyn,2015,100972695.47,22.543876236,5357886
EWR,2015,512707.02,18.458572811,4946
Manhattan,2015,1298588747.72,21.657384582,82363792
Queens,2015,258966312.2,22.041064544,6302039
Staten Island,2015,69307.84,24.523796711,1350
Bronx,2016,3460356.19,21.177728837,157997
Brooklyn,2016,85695481.1,22.644889508,4640095
EWR,2016,531209.58,18.437864786,4959
Manhattan,2016,1223186690.49,21.854402353,77468885
Queens,2016,253070241.04,22.066433065,6048693
Staten Island,2016,129643.94,22.394002509,4406
Bronx,2017,2406879.05,20.874244489,107038
Brooklyn,2017,53862077.3,22.736535571,3006839
EWR,2017,503743.44,18.381485034,4738
Manhattan,2017,1057658940.52,22.076108014,68127034
Queens,2017,236127187.9,22.08443922,5401958
Staten Island,2017,65582.25,23.256188449,1625
Bronx,2018,2099306.07,19.722285278,83124
Brooklyn,2018,35609136.83,22.520394996,1928790
EWR,2018,495201.99,18.665496025,4474
Manhattan,2018,965559176.73,22.10620966,63081452
Queens,2018,223147227.68,22.092563058,4907484
Staten Island,2018,41449.81,21.774801746,842
Bronx,2019,520343.49,21.174231403,19341
Brooklyn,2019,13179268.37,23.180155134,656825
EWR,2019,627593.05,17.930358491,5548
Manhattan,2019,962574595.31,26.109146749,53922317
Queens,2019,191464564.64,22.480657787,3608895
Staten Island,2019,37200.64,22.411270949,616
Bronx,2020,2459901.25,12.84275264,70291
Brooklyn,2020,6230443.48,17.411586251,219596
EWR,2020,141259.26,16.959842998,1320
Manhattan,2020,276923860.24,27.018613233,16039478
Queens,2020,41045847.56,21.199480991,789442
Staten Island,2020,169807.07,6.011062239,1864
Bronx,2021,627374.79,17.876644384,17772
Brooklyn,2021,4104081.97,21.908165153,140146
EWR,2021,209232.83,17.867121484,1891
Manhattan,2021,368777667.16,27.281552778,20706781
Queens,2021,71427719.5,22.664103057,1286208
Staten Island,2021,41727.31,17.782927645,532
Bronx,2022,289409.86,20.006523683,7172
Brooklyn,2022,5268172.12,22.559286793,174043
EWR,2022,772343.45,18.207483143,6584
Manhattan,2022,519669090.28,27.001036285,27095468
Queens,2022,138689264.96,22.819260133,2342272
Staten Island,2022,21686.01,21.310377825,229
Bronx,2023,283818.9,18.795214948,5737
Brooklyn,2023,4742471.45,21.678515651,130152
EWR,2023,360305.47,17.616854148,2852
Manhattan,2023,652321107.35,26.079709731,26206940
Queens,2023,202455280.59,22.449321102,2559226
Staten Island,2023,23040.95,19.971740458,228
Bronx,2024,258877.86,21.009714199,4729
Brooklyn,2024,4238780.9,22.019708384,111536
EWR,2024,392475.56,16.967569799,3328
Manhattan,2024,657140482.45,26.263841805,26464954
Queens,2024,209251424.78,22.558343475,2594843
Staten Island,2024,21589.86,20.286635993,198
Bronx,2025,92848.33,21.340981734,1843
Brooklyn,2025,1735487.03,22.219399408,46539
EWR,2025,134581.18,16.685758899,1174
Manhattan,2025,270838146.15,27.332962499,11051096
Queens,2025,80145901.79,22.800775307,994551
Staten Island,2025,9057.96,21.604801286,88
